Bin_No,Torque_kNm,time_70d,n_rpm,n_30y,K_Hbeta,sigma_HxS_H,Z_NT,N_i,U_i
1,25.6,0,35.2,0,0,0,0,0,0
2,25.5,0,35.2,0,0,0,0,0,0
3,25.4,24,35.2,2203,1.31,2349,1.61,90500,0.0243
4,25.3,14,35.2,1285,1.31,2344,1.61,92900,0.0138
5,25.3,9,35.2,825.9,1.31,2344,1.61,92900,0.00889
6,25.2,14,35.2,1285,1.31,2340,1.61,95400,0.0135
7,25.1,28,35.2,2570,1.31,2335,1.6,97900,0.0262
8,25,14,35.2,1285,1.31,2330,1.6,101000,0.0128
9,24.9,9,35.2,825.9,1.31,2326,1.6,103000,0.008
10,24.8,19,35.2,1744,1.31,2321,1.59,106000,0.0165
11,24.7,28,35.2,2570,1.31,2316,1.59,109000,0.0236
12,24.6,33,35.2,3028,1.31,2312,1.59,112000,0.0271
13,24.5,24,35.2,2203,1.31,2307,1.58,115000,0.0192
14,24.3,24,35.2,2203,1.31,2297,1.58,121000,0.0182
15,24.2,19,35.2,1744,1.31,2293,1.57,125000,0.014
16,24,26,35.2,2386,1.31,2283,1.57,132000,0.0181
17,23.8,52,35.2,4772,1.31,2274,1.56,139000,0.0343
18,23.6,47,35.2,4313,1.31,2264,1.55,147000,0.0293
19,23.3,62,35.2,5690,1.31,2250,1.54,160000,0.0355
20,23.1,88,35.2,8076,1.31,2240,1.54,170000,0.0476
21,22.8,66,35.2,6057,1.31,2225,1.53,185000,0.0328
22,22.5,163,35.2,14960,1.31,2211,1.52,202000,0.0741
23,22.1,180,35.2,16520,1.31,2191,1.5,227000,0.0727
24,21.8,83,35.2,7617,1.31,2176,1.49,249000,0.0306
25,21.4,200,35.2,18350,1.31,2156,1.48,281000,0.0653
26,20.9,212,35.2,19460,1.31,2131,1.46,329000,0.0592
27,20.5,104,35.2,9544,1.31,2110,1.45,373000,0.0256
28,20,238,35.2,21840,1.31,2084,1.43,440000,0.0497
29,19.4,253,35.2,23220,1.31,2053,1.41,538000,0.0432
30,18.8,200,35.2,18350,1.31,2021,1.39,662000,0.0277
31,18.2,206,35.2,18900,1.31,1988,1.37,820000,0.023
32,17.6,297,35.2,27260,1.31,1955,1.34,1020000,0.0266
33,16.9,316,35.2,29000,1.31,1916,1.32,1340000,0.0217
34,16.1,334,35.2,30650,1.31,1870,1.28,1850000,0.0166
35,15.3,352,35.2,32300,1.31,1823,1.25,2580000,0.0125
36,14.5,274,35.2,25150,1.32,1785,1.23,3420000,0.00736
37,13.6,286,35.2,26250,1.34,1742,1.2,4700000,0.00558
38,12.6,404,35.2,37080,1.37,1693,1.16,6860000,0.0054
39,11.6,429,35.2,39370,1.4,1643,1.13,10200000,0.00385
40,10.6,449,35.2,41210,1.44,1593,1.09,15400000,0.00268
41,9.5,468,35.2,42950,1.49,1534,1.05,25200000,0.0017
42,8.3,303,35.2,27810,1.56,1467,1.01,45700000,0.000609
43,7.1,176,35.2,16150,1.66,1398,0.96,190000000,8.48e-05
44,5.8,12,35.2,1101,1.8,1318,0.91,1310000000,8.42e-07
45,4.4,0,35.2,0,NaN,0,NaN,0,0
46,3,0,35.2,0,NaN,0,NaN,0,0
47,1.6,0,35.2,0,NaN,0,NaN,0,0
48,0,6040000,0,0,NaN,0,NaN,0,0
